Gender,Major,Program,GPA
Male,B.Tech,ECE,5.360929081718267
Male,MS,CSE,7.776738292500804
Female,MS,CND,6.604089688978617
Male,B.Tech,CSE,5.545192473879055
Male,B.Tech,ECE,7.080139765351841
Female,B.Tech,ECE,5.726225996787648
Female,MS,CSE,10.0
Male,PhD,ECE,7.923897901355926
Male,B.Tech,CSE,7.835225019841732
Male,MS,ECE,9.338536566441277
Male,MS,CND,7.478366526298817
Female,B.Tech,CSE,7.550045335056654
Male,B.Tech,CSE,6.1698186496967375
Male,B.Tech,CSE,5.323500596902658
Male,B.Tech,ECE,6.899481532359131
Male,B.Tech,CSE,6.468742391416983
Male,B.Tech,ECE,6.689249242588301
Male,B.Tech,ECE,7.658924784242768
Male,MS,ECE,7.5679908311516995
Female,B.Tech,ECE,7.113277277414117
Male,B.Tech,ECE,7.460133226232041
Female,B.Tech,CSE,6.740054275148611
Female,MS,CHD,8.259711587516113
Male,B.Tech,ECE,9.024987696678533
Other,B.Tech,CSE,7.129808148410497
Female,B.Tech,CSE,8.47077248505687
Male,B.Tech,CSE,6.209537063428903
Other,B.Tech,CSE,6.730206843780175
Male,B.Tech,CSE,7.242679069766332
Male,B.Tech,ECE,5.516393217408288
Male,MS,CSE,7.830692753004664
Female,B.Tech,ECE,8.185549054856333
Male,B.Tech,ECE,7.584582960674648
Other,B.Tech,CSE,8.151165076246507
Female,B.Tech,ECE,6.874000451256271
Male,MS,CHD,7.338178101455598
Female,PhD,CSE,6.875764277051967
Male,PhD,ECE,7.995872102216866
Female,MS,CND,8.335563036048255
Female,B.Tech,CSE,6.2818664948643
Male,B.Tech,CSE,8.148529870473435
Male,MS,CND,9.345301323200323
Male,B.Tech,CSE,8.631447361244481
Female,MS,CHD,7.322124305660552
Male,B.Tech,ECE,6.279866835903508
Male,B.Tech,ECE,7.311965977161386
Male,B.Tech,CHD,7.0927123808112835
Female,MS,CHD,7.362805003733574
Female,B.Tech,CSE,7.272474848334765
